Id_estacio;Nom_Est;Longitud_geo;Latitud_geo;alt_est;ET_mmy;Porc_datos;Celda_XY;Cant_Est;departamento;municipio;AH;ZSZH;vereda;SUBREGION;depto_region;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
26180190;AGUADAS [26180190];-75,45119801;5,600029825;2181;1031;96;(3-6);20;Caldas;Aguadas;MagdalenaCauca;RioTapiasyotrosdirectosalCauca;LA BLANQUITA;;Caldas - ;1250;1207;1069;789;1560;1903;1264;894;1763;1553;1807;1888;1703;1241;1916;1413;789;2052;1357;1180;1372;1294;1335;1378;1061;544;1129;912;1225;10;909;1484;684;896;1007;882;1518;828;1104;136;2078;1278;1229;1284;773;826;1292;1661;551;811;0;34
26180240;PAVAS LAS [26180240];-75,39288745;5,52219082;2767;917;50;(3-6);20;Caldas;Aguadas;MagdalenaCauca;RioArma;SANTA ROSA;;Caldas - ;0;0;0;389;1491;1408;1125;1314;1826;1508;1255;1439;1767;1240;2008;1056;1139;1338;1561;1334;1418;1006;1096;1290;1458;1550;1877;1301;1801;81;1016;1355;1169;1478;1430;1249;971;1550;1517;1430;2274;1423;1819;1635;1338;1056;830;1492;1530;1311;1273;54
26185010;PELADA LA [26185010];-75,34477656;5,578754297;2193;1028;49;(3-6);20;Caldas;Aguadas;MagdalenaCauca;RioArma;PUENTE PIEDRA;;Caldas - ;0;0;0;389;1491;1408;1125;1314;1826;1508;1255;1439;1767;1240;2008;1056;1139;1338;1561;1334;1418;1006;1096;1290;1458;1550;1877;1301;1801;81;1016;1355;1169;1478;1430;1249;971;1550;1517;1430;2274;1423;1819;1635;1338;1056;830;1492;1530;1311;1273;52
23120100;ALBANIA [23120100];-73,91666691;5,783330023;2106;1046;10;(3-9);15;Santander;Albania;MagdalenaCauca;RioCarare(Minero);HONDA;;Santander - ;0;0;3108;3640;3482;2262;2157;3365;3416;2317;1867;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31
23125060;ALBANIA [23125060];-73,91332917;5,75833334;1636;1149;84;(3-9);15;Santander;Albania;MagdalenaCauca;RioCarare(Minero);;;Santander - ;0;0;0;0;0;0;0;0;0;0;0;0;254;2299;2637;2596;2165;2562;3109;2019;2662;2695;1865;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;95
26120150;ALCALA [26120150];-75,78630448;4,676473577;1236;1245;93;(1-5);14;ValledelCauca;Alcala;MagdalenaCauca;RioLaVieja;;;ValledelCauca - ;1832;1362;1644;751;1321;1221;952;1274;802;1191;1005;1821;1730;1476;1681;1529;1731;1457;1957;1355;1326;1297;1101;1398;1615;1259;1273;877;1280;28;1228;1356;1077;1209;1291;1279;1532;954;1177;1035;1374;1512;1451;1267;708;896;1221;1096;693;280;974;93
23080680;ALEJANDRIA [23080680];-75,14999618;6,383336704;1742;1125;29;(5-7);20;Antioquia;Alejandria;MagdalenaCauca;RioNare;FATIMA;Oriente;Antioquia - Oriente;0;0;0;0;0;0;0;1375;2012;1629;2058;2838;2147;2247;2255;2288;2336;2493;3072;2062;2320;2394;1908;2288;2515;2493;3278;1090;1660;2617;2618;1834;2226;2604;2164;1922;2221;2276;2035;2633;2458;2464;2056;2394;1597;1364;2078;2787;2019;1856;1798;40
23080940;PRESA SAN LORENZO [23080940];-74,99677802;6,384586819;1246;1243;46;(5-7);20;Antioquia;Alejandria;MagdalenaCauca;RioNare;EL CERRO;Oriente;Antioquia - Oriente;0;0;2734;2560;2416;2816;1219;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;97
23080950;VIENTO EL [23080950];-75,10000095;6,400002836;1493;1183;20;(5-7);20;Antioquia;Alejandria;MagdalenaCauca;RioNare;SAN LUIS;Nordeste;Antioquia - Nordeste;3853;2322;412;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69
23085030;ALEJANDRIA [23085030];-75,14338572;6,376246955;1678;1140;63;(5-7);20;Antioquia;Alejandria;MagdalenaCauca;RioNare;SAN PEDRO;Oriente;Antioquia - Oriente;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
